Date,Close
2015-03-03,79.6
2015-04-03,80.9
2015-05-03,81.21
2015-06-03,80.01
2015-09-03,79.44
2015-10-03,77.55
2015-11-03,77.57
2015-12-03,78.93
3/13/2015 16:00:00,78.05
3/16/2015 16:00:00,78.07
3/17/2015 16:00:00,79.36
3/18/2015 16:00:00,80.91
3/19/2015 16:00:00,82.75
3/20/2015 16:00:00,83.8
3/23/2015 16:00:00,84.43
3/24/2015 16:00:00,85.31
3/25/2015 16:00:00,82.92
3/26/2015 16:00:00,83.01
3/27/2015 16:00:00,83.3
3/30/2015 16:00:00,83.2
3/31/2015 16:00:00,82.22
2015-01-04,81.67
2015-02-04,81.56
2015-06-04,82.44
2015-07-04,82.32
2015-08-04,82.28
2015-09-04,82.17
2015-10-04,82.04
4/13/2015 16:00:00,83.01
4/14/2015 16:00:00,83.52
4/15/2015 16:00:00,82.71
4/16/2015 16:00:00,82.31
4/17/2015 16:00:00,80.78
4/20/2015 16:00:00,83.09
4/21/2015 16:00:00,83.62
4/22/2015 16:00:00,84.63
4/23/2015 16:00:00,82.41
4/24/2015 16:00:00,81.53
4/27/2015 16:00:00,81.91
4/28/2015 16:00:00,80.68
4/29/2015 16:00:00,80.47
4/30/2015 16:00:00,78.77
2015-01-05,78.99
2015-04-05,78.81
2015-05-05,77.56
2015-06-05,78.1
2015-07-05,78.43
2015-08-05,78.51
2015-11-05,78.01
2015-12-05,77.46
5/13/2015 16:00:00,78.44
5/14/2015 16:00:00,81.37
5/15/2015 16:00:00,80.42
5/18/2015 16:00:00,80.88
5/19/2015 16:00:00,80.63
5/20/2015 16:00:00,80.55
5/21/2015 16:00:00,80.48
5/22/2015 16:00:00,80.54
5/26/2015 16:00:00,79.33
5/27/2015 16:00:00,80.55
5/28/2015 16:00:00,80.15
5/29/2015 16:00:00,79.19
2015-01-06,80.29
2015-02-06,80.44
2015-03-06,82.44
2015-04-06,82.05
2015-05-06,82.14
2015-08-06,80.67
2015-09-06,80.67
2015-10-06,82.16
2015-11-06,81.83
2015-12-06,81.53
6/15/2015 16:00:00,80.71
6/16/2015 16:00:00,81.06
6/17/2015 16:00:00,81.79
6/18/2015 16:00:00,82.91
6/19/2015 16:00:00,82.51
6/22/2015 16:00:00,84.74
6/23/2015 16:00:00,87.88
6/24/2015 16:00:00,88.86
6/25/2015 16:00:00,87.98
6/26/2015 16:00:00,88.01
6/29/2015 16:00:00,85.8
6/30/2015 16:00:00,85.77
2015-01-07,86.91
2015-02-07,87.29
2015-06-07,87.55
2015-07-07,87.22
2015-08-07,85.65
2015-09-07,85.88
2015-10-07,87.95
7/13/2015 16:00:00,90.1
7/14/2015 16:00:00,89.68
7/15/2015 16:00:00,89.76
7/16/2015 16:00:00,90.85
7/17/2015 16:00:00,94.97
7/20/2015 16:00:00,97.91
7/21/2015 16:00:00,98.39
7/22/2015 16:00:00,97.04
7/23/2015 16:00:00,95.44
7/24/2015 16:00:00,96.95
7/27/2015 16:00:00,94.17
7/28/2015 16:00:00,95.29
7/29/2015 16:00:00,96.99
7/30/2015 16:00:00,95.21
7/31/2015 16:00:00,94.01
2015-03-08,94.14
2015-04-08,94.06
2015-05-08,96.44
