Date,Close
1/25/2021 16:00:00,880.8
1/26/2021 16:00:00,883.09
1/27/2021 16:00:00,864.16
1/28/2021 16:00:00,835.43
1/29/2021 16:00:00,793.53
2/1/2021 16:00:00,839.81
2/2/2021 16:00:00,872.79
2/3/2021 16:00:00,854.69
2/4/2021 16:00:00,849.99
2/5/2021 16:00:00,852.23
2/8/2021 16:00:00,863.42
2/9/2021 16:00:00,849.46
2/10/2021 16:00:00,804.82
2/11/2021 16:00:00,811.66
2/12/2021 16:00:00,816.12
2/16/2021 16:00:00,796.22
2/17/2021 16:00:00,798.15
2/18/2021 16:00:00,787.38
2/19/2021 16:00:00,781.3
2/22/2021 16:00:00,714.5
2/23/2021 16:00:00,698.84
2/24/2021 16:00:00,742.02
2/25/2021 16:00:00,682.22
2/26/2021 16:00:00,675.5
3/1/2021 16:00:00,718.43
3/2/2021 16:00:00,686.44
3/3/2021 16:00:00,653.2
3/4/2021 16:00:00,621.44
3/5/2021 16:00:00,597.95
3/8/2021 16:00:00,563
3/9/2021 16:00:00,673.58
3/10/2021 16:00:00,668.06
3/11/2021 16:00:00,699.6
3/12/2021 16:00:00,693.73
3/15/2021 16:00:00,707.94
3/16/2021 16:00:00,676.88
3/17/2021 16:00:00,701.81
3/18/2021 16:00:00,653.16
3/19/2021 16:00:00,654.87
3/22/2021 16:00:00,670
3/23/2021 16:00:00,662.16
3/24/2021 16:00:00,630.27
3/25/2021 16:00:00,640.39
3/26/2021 16:00:00,618.71
3/29/2021 16:00:00,611.29
3/30/2021 16:00:00,635.62
3/31/2021 16:00:00,667.93
4/1/2021 16:00:00,661.75
4/5/2021 16:00:00,691.05
4/6/2021 16:00:00,691.62
4/7/2021 16:00:00,670.97
4/8/2021 16:00:00,683.8
4/9/2021 16:00:00,677.02
4/12/2021 16:00:00,701.98
4/13/2021 16:00:00,762.32
4/14/2021 16:00:00,732.23
4/15/2021 16:00:00,738.85
4/16/2021 16:00:00,739.78
4/19/2021 16:00:00,714.63
4/20/2021 16:00:00,718.99
4/21/2021 16:00:00,744.12
4/22/2021 16:00:00,719.69
4/23/2021 16:00:00,729.4
4/26/2021 16:00:00,738.2
4/27/2021 16:00:00,704.74
4/28/2021 16:00:00,694.4
4/29/2021 16:00:00,677
4/30/2021 16:00:00,709.44
5/3/2021 16:00:00,684.9
5/4/2021 16:00:00,673.6
5/5/2021 16:00:00,670.94
5/6/2021 16:00:00,663.54
5/7/2021 16:00:00,672.37
5/10/2021 16:00:00,629.04
5/11/2021 16:00:00,617.2
5/12/2021 16:00:00,589.89
5/13/2021 16:00:00,571.69
5/14/2021 16:00:00,589.74
5/17/2021 16:00:00,576.83
5/18/2021 16:00:00,577.87
5/19/2021 16:00:00,563.46
5/20/2021 16:00:00,586.78
5/21/2021 16:00:00,580.88
5/24/2021 16:00:00,606.44
5/25/2021 16:00:00,604.69
5/26/2021 16:00:00,619.13
5/27/2021 16:00:00,630.85
5/28/2021 16:00:00,625.22
6/1/2021 16:00:00,623.9
6/2/2021 16:00:00,605.12
6/3/2021 16:00:00,572.84
6/4/2021 16:00:00,599.05
6/7/2021 16:00:00,605.13
6/8/2021 16:00:00,603.59
6/9/2021 16:00:00,598.78
6/10/2021 16:00:00,610.12
6/11/2021 16:00:00,609.89
6/14/2021 16:00:00,617.69
6/15/2021 16:00:00,599.36
6/16/2021 16:00:00,604.87
6/17/2021 16:00:00,616.6
6/18/2021 16:00:00,623.31
6/21/2021 16:00:00,620.83
6/22/2021 16:00:00,623.71
6/23/2021 16:00:00,656.57
6/24/2021 16:00:00,679.82
6/25/2021 16:00:00,671.87
6/28/2021 16:00:00,688.72
6/29/2021 16:00:00,680.76
6/30/2021 16:00:00,679.7
7/1/2021 16:00:00,677.92
7/2/2021 16:00:00,678.9
7/6/2021 16:00:00,659.58
7/7/2021 16:00:00,644.65
7/8/2021 16:00:00,652.81
7/9/2021 16:00:00,656.95
7/12/2021 16:00:00,685.7
7/13/2021 16:00:00,668.54
7/14/2021 16:00:00,653.38
7/15/2021 16:00:00,650.6
7/16/2021 16:00:00,644.22
7/19/2021 16:00:00,646.22
7/20/2021 16:00:00,660.5
7/21/2021 16:00:00,655.29
7/22/2021 16:00:00,649.26
7/23/2021 16:00:00,643.38
7/26/2021 16:00:00,657.62
7/27/2021 16:00:00,644.78
7/28/2021 16:00:00,646.98
7/29/2021 16:00:00,677.35
7/30/2021 16:00:00,687.2
8/2/2021 16:00:00,709.67
8/3/2021 16:00:00,709.74
8/4/2021 16:00:00,710.92
8/5/2021 16:00:00,714.63
8/6/2021 16:00:00,699.1
8/9/2021 16:00:00,713.76
8/10/2021 16:00:00,709.99
8/11/2021 16:00:00,707.82
8/12/2021 16:00:00,722.25
8/13/2021 16:00:00,717.17
8/16/2021 16:00:00,686.17
8/17/2021 16:00:00,665.71
8/18/2021 16:00:00,688.99
8/19/2021 16:00:00,673.47
8/20/2021 16:00:00,680.26
8/23/2021 16:00:00,706.3
8/24/2021 16:00:00,708.49
8/25/2021 16:00:00,711.2
8/26/2021 16:00:00,701.16
8/27/2021 16:00:00,711.92
8/30/2021 16:00:00,730.91
8/31/2021 16:00:00,735.72
9/1/2021 16:00:00,734.09
9/2/2021 16:00:00,732.39
9/3/2021 16:00:00,733.57
9/7/2021 16:00:00,752.92
9/8/2021 16:00:00,753.87
9/9/2021 16:00:00,754.86
9/10/2021 16:00:00,736.27
9/13/2021 16:00:00,743
9/14/2021 16:00:00,744.49
9/15/2021 16:00:00,755.83
9/16/2021 16:00:00,756.99
9/17/2021 16:00:00,759.49
9/20/2021 16:00:00,730.17
9/21/2021 16:00:00,739.38
9/22/2021 16:00:00,751.94
9/23/2021 16:00:00,753.64
9/24/2021 16:00:00,774.39
9/27/2021 16:00:00,791.36
9/28/2021 16:00:00,777.56
9/29/2021 16:00:00,781.31
9/30/2021 16:00:00,775.48
10/1/2021 16:00:00,775.22
10/4/2021 16:00:00,781.53
10/5/2021 16:00:00,780.59
10/6/2021 16:00:00,782.75
10/7/2021 16:00:00,793.61
10/8/2021 16:00:00,785.49
10/11/2021 16:00:00,791.94
10/12/2021 16:00:00,805.72
10/13/2021 16:00:00,811.08
10/14/2021 16:00:00,818.32
10/15/2021 16:00:00,843.03
10/18/2021 16:00:00,870.11
10/19/2021 16:00:00,864.27
10/20/2021 16:00:00,865.8
10/21/2021 16:00:00,894
10/22/2021 16:00:00,909.68
10/25/2021 16:00:00,1024.86
10/26/2021 16:00:00,1018.43
10/27/2021 16:00:00,1037.86
10/28/2021 16:00:00,1077.04
10/29/2021 16:00:00,1114
11/1/2021 16:00:00,1208.59
11/2/2021 16:00:00,1172
11/3/2021 16:00:00,1213.86
11/4/2021 16:00:00,1229.91
11/5/2021 16:00:00,1222.09
11/8/2021 16:00:00,1162.94
11/9/2021 16:00:00,1023.5
11/10/2021 16:00:00,1067.95
11/11/2021 16:00:00,1063.51
11/12/2021 16:00:00,1033.42
11/15/2021 16:00:00,1013.39
11/16/2021 16:00:00,1054.73
11/17/2021 16:00:00,1089.01
11/18/2021 16:00:00,1096.38
11/19/2021 16:00:00,1137.06
11/22/2021 16:00:00,1156.87
11/23/2021 16:00:00,1109.03
11/24/2021 16:00:00,1116
11/26/2021 13:00:00,1081.92
11/29/2021 16:00:00,1136.99
11/30/2021 16:00:00,1144.76
12/1/2021 16:00:00,1095
12/2/2021 16:00:00,1084.6
12/3/2021 16:00:00,1014.97
12/6/2021 16:00:00,1009.01
12/7/2021 16:00:00,1051.75
12/8/2021 16:00:00,1068.96
12/9/2021 16:00:00,1003.8
12/10/2021 16:00:00,1017.03
12/13/2021 16:00:00,966.41
12/14/2021 16:00:00,958.51
12/15/2021 16:00:00,975.99
12/16/2021 16:00:00,926.92
12/17/2021 16:00:00,932.57
12/20/2021 16:00:00,899.94
12/21/2021 16:00:00,938.53
12/22/2021 16:00:00,1008.87
12/23/2021 16:00:00,1067
12/27/2021 16:00:00,1093.94
12/28/2021 16:00:00,1088.47
12/29/2021 16:00:00,1086.19
12/30/2021 16:00:00,1070.34
12/31/2021 16:00:00,1056.78
1/3/2022 16:00:00,1199.78
1/4/2022 16:00:00,1149.59
1/5/2022 16:00:00,1088.12
1/6/2022 16:00:00,1064.7
1/7/2022 16:00:00,1026.96
1/10/2022 16:00:00,1058.12
1/11/2022 16:00:00,1064.4
1/12/2022 16:00:00,1106.22
1/13/2022 16:00:00,1031.56
1/14/2022 16:00:00,1049.61
1/18/2022 16:00:00,1030.51
1/19/2022 16:00:00,995.65
1/20/2022 16:00:00,996.27
1/21/2022 16:00:00,943.9
